;Available since;Garden;Latitude;Link;Listing_status;Longitude;Neighbourhood;Number of bedrooms;Number of rooms;Price;Street;Surface (m²);Total volume (m³);Type;Year built;Zipcode
175;> 3 maanden;['No'];52.35912585;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002284494/sumatrastraat;Verkocht onder voorbehoud;4.94017826;Indische Buurt West;2;3;395000;Sumatrastraat;73;230;Appartement;2009;1094NB
176;23-05-2018;['Yes', 'patio/atrium'];52.34815853;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002386073/bachplein;Beschikbaar;4.87944073;Apollobuurt;4;7;2300000;Bachplein;248;931;Woonhuis;1927;1077GH
177;> 3 maanden;['No'];52.37727515;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002308275/egelantiersstraat;Beschikbaar;4.88490837;Jordaan;1;2;1400000;Egelantiersstraat;183;673;Appartement;1955;1015PL
178;21-05-2018;['No'];52.34416154;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002383357/cornelis-dopperkade;Beschikbaar;4.87586172;Station-Zuid WTC en omgeving;3;4;725000;Cornelis Dopperkade;136;428;Appartement;1955;1077KN
179;> 3 maanden;['Yes'];52.31984085;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0001958837/chico-mendesstraat;Beschikbaar;4.95480051;Bijlmer-Centrum (D, F, H);3;5;352000;Chico Mendesstraat;145;428;Woonhuis;2000;1102JG
180;04-05-2018;['No'];52.35447336;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002370682/valeriusstraat;Beschikbaar;4.87031189;Willemspark;3;5;1250000;Valeriusstraat;128;659;Appartement;1902;1071MD
181;04-04-2018;['No'];52.37885363;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002346242/jan-den-haenstraat;Bieding;4.8613627;Landlust;1;2;275000;Jan den Haenstraat;51;140;Appartement;1935;1055WG
182;28-04-2018;['No'];52.37702346;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002364902/esmoreitstraat;Verkocht onder voorbehoud;4.85207353;Erasmuspark;2;3;275000;Esmoreitstraat;52;168;Appartement;1940;1055CD
183;07-05-2018;['No'];52.35238842;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002373343/johan-hofmanstraat;Beschikbaar;4.79550881;Osdorp-Midden;3;4;300000;Johan Hofmanstraat;101;260;Appartement;2009;1069KD
184;26-04-2018;['No'];52.3630966;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002363997/ijburglaan;Verkocht onder voorbehoud;4.97951326;IJburg West;2;3;335000;IJburglaan;85;221;Appartement;2005;1086XT
