;Available since;Garden;Latitude;Link;Listing_status;Longitude;Neighbourhood;Number of bedrooms;Number of rooms;Price;Street;Surface (m²);Total volume (m³);Type;Year built;Zipcode
562;> 3 maanden;['Yes', 'ja'];52.41017318;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002351302/t-voorwerf;Beschikbaar;4.96720314;Waterland;5;9;1900000;'t Voorwerf;364;1245;Woonhuis;[];1027AG
563;19-04-2018;['Yes', 'achtertuin'];52.34811982;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002379078/korte-meerhuizenstraat;Verkocht onder voorbehoud;4.90676847;IJselbuurt;2;3;395000;Korte Meerhuizenstraat;70;230;Appartement;1925;1078TL
564;14-05-2018;['Yes', 'patio/atrium'];52.35319231;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002376680/rustenburgerstraat;Beschikbaar;4.90319084;Diamantbuurt;2;3;625000;Rustenburgerstraat;81;279;Appartement;[];1074ES
565;07-05-2018;['No'];52.37510271;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002372468/admiraal-de-ruijterweg;Beschikbaar;4.85866103;Landlust;2;3;400000;Admiraal De Ruijterweg;78;277;Appartement;1906;1056GX
566;> 3 maanden;['No'];52.38390896;https://www.pararius.nl/garages-te-koop/amsterdam/PB0002365275/lou-jansenplein;Beschikbaar;4.81945603;Slotermeer-Noordoost;[];3;27500;Lou Jansenplein;78;277;Garage;1958;1063HA
567;> 3 maanden;['No'];52.36424044;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002386848/makassarstraat;Beschikbaar;4.94033228;Indische Buurt Oost;3;4;495000;Makassarstraat;93;282;Appartement;[];1095TA
568;15-05-2018;['No'];52.37057155;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002379075/elandsstraat;Beschikbaar;4.88058558;Jordaan;2;3;750000;Elandsstraat;96;288;Appartement;2017;1016SG
569;02-05-2018;['No'];52.36863012;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002367262/baffinstraat;Beschikbaar;4.85433321;Hoofdweg en omgeving;2;3;300000;Baffinstraat;50;187;Appartement;1927;1057SV
570;> 3 maanden;['Yes', 'zonneterras'];52.36367356;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002369910/kerkstraat;Bieding;4.88840973;Grachtengordel-Zuid;3;7;775000;Kerkstraat;112;425;Woonhuis;1977;1017GG
571;06-03-2018;['No'];52.3692207;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002315597/rapenburgerstraat;Beschikbaar;4.90841942;Nieuwmarkt/Lastage;1;2;410000;Rapenburgerstraat;53;172;Appartement;1964;1011VK
572;20-03-2018;['Yes', 'achtertuin'];52.34228861;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002334234/kinderdijkstraat;Verkocht onder voorbehoud;4.90281079;Rijnbuurt;3;4;630000;Kinderdijkstraat;89;300;Appartement;1938;1079GM
573;> 3 maanden;['Yes', 'geen tuin. Orientatie: West'];52.35650488;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002384087/fijnje-van-salverdastraat;Beschikbaar;4.82881968;Slotervaart;3;4;299000;Fijnje van Salverdastraat;75;210;Woonhuis;1960;1065EA
574;> 3 maanden;['No'];52.36172896;https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0002329100/ruimzicht;Verkocht onder voorbehoud;4.80868515;Osdorp-Oost;[];4;189500;Ruimzicht;100;300;Opslagruimte;1976;1068CV
575;16-03-2018;['Yes', 'zonneterras'];52.35895003;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002331772/paulus-potterstraat;Beschikbaar;4.880888;Museumkwartier;3;4;3600000;Paulus Potterstraat;251;878;Appartement;1903;1071DA
576;22-05-2018;['No'];52.35706206;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002386773/waldenlaan;Beschikbaar;4.92890576;Dapperbuurt;2;3;650000;Waldenlaan;105;337;Appartement;2014;1093NH
577;> 3 maanden;['Yes'];52.36029697;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002384194/derkinderenstraat;Beschikbaar;4.84020799;Overtoomse Veld;3;4;400000;Derkinderenstraat;112;337;Woonhuis;[];1062BE
578;> 3 maanden;['No'];52.32526401;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002332483/chestertonlaan;Verkocht onder voorbehoud;4.94601984;Bijlmer-Centrum (D, F, H);2;3;200000;Chestertonlaan;70;184;Woonhuis;1985;1102ZA
579;04-04-2018;['No'];52.37885363;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002346240/jan-den-haenstraat;Bieding;4.8613627;Landlust;2;3;300000;Jan den Haenstraat;52;140;Appartement;1935;1055WG
580;11-04-2018;['No'];52.35453793;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002351120/ekingenstraat;Beschikbaar;4.79759386;Osdorp-Midden;2;3;249000;Ekingenstraat;70;225;Appartement;1962;1069GZ
581;06-03-2018;['No'];52.3692207;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002315601/rapenburgerstraat;Beschikbaar;4.90841942;Nieuwmarkt/Lastage;1;2;415000;Rapenburgerstraat;52;169;Appartement;1964;1011VK
582;06-04-2018;['No'];52.33821611;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002380107/jan-vroegopsingel;Beschikbaar;4.90954611;De Omval;2;3;59000;Jan Vroegopsingel;88;220;Woonhuis;1990;1096CN
583;07-05-2018;['No'];52.36432361;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002372457/postjesweg;Beschikbaar;4.83829377;Westindische buurt;2;3;340000;Postjesweg;83;232;Appartement;2009;1061AX
584;12-05-2018;['Yes', 'achtertuin'];52.38470669;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002375398/nachtegaalstraat;Verkocht onder voorbehoud;4.91518514;Ijplein/Vogelbuurt;2;3;200000;Nachtegaalstraat;47;168;Appartement;1915;1021GE
585;> 3 maanden;['No'];52.37251569;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002329210/stuurmankade;Verkocht onder voorbehoud;4.94930915;Oostelijk Havengebied;[];4;650000;Stuurmankade;122;340;Woonhuis;1998;1019WE
586;01-04-2018;['No'];52.3358532;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002350806/george-gershwinlaan;Verkocht onder voorbehoud;4.87294958;Buitenveldert-West;2;3;749000;George Gershwinlaan;125;440;Appartement;2011;1082MT
587;> 3 maanden;['No'];52.38092532;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380631/willem-de-zwijgerlaan;Beschikbaar;4.86104223;De Krommert;[];1;225000;Willem de Zwijgerlaan;53;225;Appartement;1959;1055RD
588;> 3 maanden;['No'];52.40584063;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002209208/kabelgaststraat;Beschikbaar;4.89409255;Tuindorp Oostzaan;2;3;230000;Kabelgaststraat;77;215;Appartement;[];1033DP
589;> 3 maanden;['No'];52.35094762;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002384173/lutmastraat;Beschikbaar;4.89718298;Diamantbuurt;2;3;325000;Lutmastraat;59;190;Appartement;1915;1073GR
590;19-03-2018;['No'];52.3809245;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002333280/sinjeur-semeynsstraat;Beschikbaar;4.84425692;De Kolenkit;3;4;229000;Sinjeur Semeynsstraat;85;220;Appartement;1962;1061GL
591;> 3 maanden;['No'];52.32046242;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002384669/alfred-doblinstraat;Beschikbaar;4.94545151;Bijlmer-Centrum (D, F, H);1;2;162500;Alfred Döblinstraat;54;220;Appartement;1984;1102VK
592;> 3 maanden;['No'];52.35496187;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002388680/rengerskerkestraat;Beschikbaar;4.79332304;Osdorp-Midden;2;3;350000;Rengerskerkestraat;103;335;Appartement;2008;1069HV
593;> 3 maanden;['No'];52.30942727;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002357569/leksmondhof;Beschikbaar;4.98107612;Nellestein;2;3;175000;Leksmondhof;69;335;Appartement;1979;1108GB
594;08-04-2018;['No'];52.29927067;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002349278/anne-kooistrahof;Beschikbaar;4.99156292;Gein;[];4;325000;Anne Kooistrahof;105;310;Woonhuis;1985;1106WH
595;> 3 maanden;['No'];52.3759262;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002200015/bloys-van-treslongstraat;Beschikbaar;4.86194078;De Krommert;[];3;400000;Bloys van Treslongstraat;55;175;Appartement;1933;1056XA
596;> 3 maanden;['Yes', 'tuin rondom'];52.3758022;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002153227/osdorperweg;Beschikbaar;4.76923232;Lutkemeer en Ookmeer;5;7;1150000;Osdorperweg;241;600;Woonhuis;1998;1067TC
597;> 3 maanden;['No'];52.35544503;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002298891/vrolikstraat;Verkocht onder voorbehoud;4.91576062;Oosterparkbuurt;2;3;350000;Vrolikstraat;60;188;Appartement;[];1091VG
598;15-05-2018;['No'];52.3771271;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380079/goeman-borgesiusstraat;Beschikbaar;4.79998109;Geuzenveld;2;3;360000;Goeman Borgesiusstraat;99;235;Appartement;1957;1067LN
599;13-03-2018;['No'];52.34671485;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002323543/p-hans-frankfurthersingel;Verkocht onder voorbehoud;4.7950561;Middelveldsche Akerpolder en Sloten;[];3;269000;P. Hans Frankfurthersingel;76;230;Appartement;2004;1060TN
600;> 3 maanden;['No'];52.37738393;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002373088/melis-stokehof;Verkocht onder voorbehoud;4.81202029;Slotermeer-Zuidwest;2;3;239000;Melis Stokehof;76;220;Appartement;2004;1064JE
601;25-05-2018;['No'];52.42005456;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002386062/marskramerstraat;Beschikbaar;4.8823506;Oostzanerwerf;1;2;200000;Marskramerstraat;50;155;Appartement;1990;1033WK
602;> 3 maanden;['No'];52.37051387;https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0001044593/dirk-vreekenstraat;Beschikbaar;4.93559967;Oostelijk Havengebied;[];2;40000;Dirk Vreekenstraat;50;155;Opslagruimte;2000;1019DP
603;> 3 maanden;['No'];52.34705047;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002304377/jan-vrijmanstraat;Verkocht onder voorbehoud;5.00833729;IJburg Zuid;2;3;350000;Jan Vrijmanstraat;96;296;Appartement;2007;1087MN
604;15-05-2018;['No'];52.36301287;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002379783/crynssenstraat;Beschikbaar;4.85635328;Westindische buurt;1;2;300000;Crynssenstraat;53;169;Appartement;1927;1058XX
605;18-05-2018;['No'];52.35234904;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002382951/sophialaan;Beschikbaar;4.85940171;Schinkelbuurt;2;3;750000;Sophialaan;70;190;Appartement;[];1075BL
606;16-05-2018;['Yes', 'achtertuin'];52.37605391;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380244/willem-de-zwijgerlaan;Verkocht onder voorbehoud;4.86236515;De Krommert;3;6;575000;Willem de Zwijgerlaan;104;279;Appartement;1938;1056JM
607;09-05-2018;['No'];52.38479429;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002375394/haarlemmerweg;Verkocht onder voorbehoud;4.85128939;Centrale Markt;3;4;325000;Haarlemmerweg;65;197;Appartement;1936;1055PN
608;> 3 maanden;['No'];52.35405802;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002373549/sem-presserhof;Verkocht onder voorbehoud;4.99913297;IJburg West;3;4;400000;Sem Presserhof;102;342;Woonhuis;2006;1087JE
609;> 3 maanden;['No'];52.37899146;https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0002329146/jan-van-duivenvoordestraat;Verkocht onder voorbehoud;4.80258531;Geuzenveld;[];3;225000;Jan van Duivenvoordestraat;95;250;Opslagruimte;2001;1067MT
610;> 3 maanden;['No'];52.38360651;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002295962/bentinckstraat;Verkocht onder voorbehoud;4.87327713;Staatsliedenbuurt;2;3;549000;Bentinckstraat;90;315;Appartement;1901;1051GL
611;> 3 maanden;['No'];52.36848635;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002284572/hoogte-kadijk;Verkocht onder voorbehoud;4.91805942;Oostelijke Eilanden/Kadijken;3;4;700000;Hoogte Kadijk;107;361;Appartement;[];1018BH
612;13-05-2018;['Yes', 'Nieuwe tuin 1'];52.37371087;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002375927/bierens-de-haanstraat;Beschikbaar;4.81077566;Slotermeer-Zuidwest;3;4;295000;Bierens de Haanstraat;82;289;Woonhuis;1954;1064NC
613;01-05-2018;['No'];52.36619477;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002366821/reguliersdwarsstraat;Beschikbaar;4.89165554;Burgwallen-Nieuwe Zijde;2;3;795000;Reguliersdwarsstraat;97;290;Appartement;1999;1017BM
614;12-03-2018;['No'];52.35465666;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002318199/langswater;Beschikbaar;4.7907961;De Punt;2;3;175000;Langswater;63;209;Appartement;1966;1069TS
615;> 3 maanden;['No'];52.35506708;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002369290/sarphatipark;Beschikbaar;4.8957577;Oude Pijp;3;4;950000;Sarphatipark;147;209;Appartement;1887;1073CR
616;> 3 maanden;['No'];52.36194905;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002372669/prinsengracht;Beschikbaar;4.89512361;Grachtengordel-West;4;6;1800000;Prinsengracht;275;751;Appartement;1680;1017KP
617;> 3 maanden;['No'];52.36160636;https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0002329159/kanaalstraat;Verkocht onder voorbehoud;4.86140563;Overtoomse Sluis;[];2;275000;Kanaalstraat;51;125;Opslagruimte;1906;1054XD
618;17-05-2018;['No'];52.36354236;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380573/langkatstraat;Verkocht onder voorbehoud;4.93873904;Indische Buurt West;1;2;235000;Langkatstraat;38;118;Appartement;1970;1094HV
619;02-05-2018;['No'];52.35706831;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002369819/warmondstraat;Verkocht onder voorbehoud;4.84956916;Hoofddorppleinbuurt;2;3;265000;Warmondstraat;45;149;Appartement;1933;1058KP
620;01-05-2018;['Yes', 'achtertuin'];52.37472532;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002367785/mercatorstraat;Beschikbaar;4.84870899;Erasmuspark;2;3;495000;Mercatorstraat;80;220;Appartement;1932;1056RD
621;15-05-2018;['No'];52.35294712;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002377314/koninginneweg;Beschikbaar;4.862521;Willemspark;4;7;2300000;Koninginneweg;283;1132;Woonhuis;[];1075CN
622;12-05-2018;['No'];52.38045232;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002376181/hugo-floris-ruysstraat;Beschikbaar;4.82587448;Slotermeer-Noordoost;[];3;239000;Hugo Floris Ruysstraat;67;233;Appartement;1958;1063KD
623;23-05-2018;['No'];52.33903101;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002384792/korte-ouderkerkerdijk;Beschikbaar;4.91271579;De Omval;3;4;800000;Korte Ouderkerkerdijk;91;34088;Woonhuis;2001;1096AD
624;09-05-2018;['Yes', 'achtertuin'];52.37866455;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002374041/j-g-suurhoffstraat;Beschikbaar;4.789313;Eendracht;3;4;345000;J.G. Suurhoffstraat;104;341;Woonhuis;1991;1067VL
625;16-04-2018;['No'];52.37087032;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002355105/korte-geuzenstraat;Beschikbaar;4.86492274;De Krommert;1;2;235000;Korte Geuzenstraat;31;107;Appartement;1942;1056KS
626;17-05-2018;['Yes', 'achtertuin'];52.35407966;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380572/amperestraat;Beschikbaar;4.94147674;Middenmeer;3;4;600000;Amperestraat;95;352;Appartement;1930;1098NK
627;03-05-2018;['Yes', 'achtertuin'];52.36885314;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002370994/orteliusstraat;Bieding;4.8499843;Erasmuspark;2;3;600000;Orteliusstraat;100;352;Appartement;1926;1057BJ
628;17-05-2018;['No'];52.38000605;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002382442/teldershof;Beschikbaar;4.79966058;Geuzenveld;3;5;350000;Teldershof;118;486;Appartement;[];1067ML
629;> 3 maanden;['Yes', 'ja'];52.35373987;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002351303/jacques-veltmanstraat;Verkocht onder voorbehoud;4.83333133;Slotervaart;2;4;400000;Jacques Veltmanstraat;115;395;Woonhuis;2003;1065DC
630;05-03-2018;['No'];52.39738904;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002318409/wingerdweg;Verkocht onder voorbehoud;4.91763599;Volewijck;2;3;250000;Wingerdweg;64;234;Appartement;1927;1032AL
631;26-05-2018;['No'];52.36403753;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002387810/keizersgracht;Beschikbaar;4.89809548;Grachtengordel-West;1;2;715000;Keizersgracht;71;264;Appartement;1904;1017DW
632;15-05-2018;['No'];52.37974716;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002380077/brouwersgracht;Beschikbaar;4.88925703;Haarlemmerbuurt;1;2;319000;Brouwersgracht;33;83;Woonhuis;1900;1015GC
633;20-04-2018;['No'];52.36587158;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002358956/kinkerstraat;Beschikbaar;4.86661131;Van Lennepbuurt;[];2;295000;Kinkerstraat;47;170;Appartement;1904;1053EM
634;06-03-2018;['No'];52.3692207;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002315592/rapenburgerstraat;Beschikbaar;4.90841942;Nieuwmarkt/Lastage;1;2;445000;Rapenburgerstraat;50;184;Appartement;1964;1011VK
635;11-05-2018;['No'];52.38045232;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002375864/hugo-floris-ruysstraat;Beschikbaar;4.82587448;Slotermeer-Noordoost;2;3;239000;Hugo Floris Ruysstraat;67;23328;Appartement;1958;1063KD
636;> 3 maanden;['No'];52.38723713;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0001424257/westerdoksdijk;Beschikbaar;4.89216952;Haarlemmerbuurt;3;4;850000;Westerdoksdijk;145;450;Appartement;2009;1013BX
637;02-05-2018;['No'];52.37597703;https://www.pararius.nl/overig-te-koop/amsterdam/PB0002368607/bos-en-lommerplantsoen;Beschikbaar;4.84449931;De Kolenkit;[];1;175000;Bos en Lommerplantsoen;28;450;Overig;2012;1055AA
638;16-05-2018;['No'];52.35197431;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380187/ferdinand-bolstraat;Beschikbaar;4.89121254;Oude Pijp;1;2;269000;Ferdinand Bolstraat;31;132;Appartement;1889;1072LT
639;> 3 maanden;['No'];52.32755527;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002359994/van-nijenrodeweg;Beschikbaar;4.87867876;Buitenveldert-West;[];2;210000;Van Nijenrodeweg;33;114;Appartement;1964;1082GX
640;15-05-2018;['Yes', 'achtertuin'];52.32498088;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002379123/noordhollandstraat;Beschikbaar;4.86540373;Buitenveldert-West;4;6;850000;Noordhollandstraat;176;475;Woonhuis;[];1081AV
641;17-04-2018;['No'];52.36293882;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002356178/nachtwachtlaan;Verkocht onder voorbehoud;4.84399255;Overtoomse Veld;[];2;252500;Nachtwachtlaan;59;175;Appartement;1972;1058EM
642;09-03-2018;['Yes', 'achtertuin'];52.40847286;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002318410/bramzeilhof;Verkocht onder voorbehoud;4.92272102;Banne Buiksloot;2;3;225000;Bramzeilhof;75;272;Appartement;1976;1034LM
643;23-05-2018;['No'];52.38215676;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002384656/pieter-van-der-werfstraat;Beschikbaar;4.80291077;Geuzenveld;2;3;275000;Pieter van der Werfstraat;86;268;Appartement;2007;1067EM
644;16-05-2018;['No'];52.37492961;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002381270/bep-bakhuysstraat;Beschikbaar;4.83937115;De Kolenkit;3;5;450000;Bep Bakhuysstraat;117;400;Woonhuis;2011;1061ME
645;> 3 maanden;['No'];52.37745864;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0001858641/willem-baerdesenstraat;Beschikbaar;4.80341326;Geuzenveld;3;4;315000;Willem Baerdesenstraat;105;275;Appartement;[];1067XX
646;> 3 maanden;['No'];52.38320279;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002355897/het-dok;Verkocht onder voorbehoud;4.91669932;Ijplein/Vogelbuurt;1;2;225000;Het Dok;48;146;Appartement;1985;1021PT
647;19-04-2018;['Yes', 'zonneterras'];52.35505226;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002357909/cornelis-schuytstraat;Verkocht onder voorbehoud;4.8711565;Museumkwartier;1;2;600000;Cornelis Schuytstraat;61;211;Appartement;[];1071JJ
648;> 3 maanden;['Yes', 'achtertuin. Lengte: 7 meter. Breedte: 4, 70 . Orientatie: West'];52.34945148;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0001700898/vorselaarstraat;Gepasseerd;4.80865439;Sloten- en Riekerpolder;2;4;300000;Vorselaarstraat;102;284;Woonhuis;1992;1066NN
649;20-03-2018;['Yes', 'zonneterras'];52.36009768;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002334007/wijttenbachstraat;Gepasseerd;4.92641309;Dapperbuurt;3;4;500000;Wijttenbachstraat;83;247;Appartement;1995;1093JC
650;11-05-2018;['No'];52.36695703;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002375467/bilderdijkkade;Beschikbaar;4.87023985;Kinkerbuurt;[];2;295000;Bilderdijkkade;46;124;Appartement;1895;1053VN
651;17-05-2018;['Yes', 'zonneterras'];52.37707929;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002381272/herengracht;Beschikbaar;4.88961007;Grachtengordel-West;5;9;2100000;Herengracht;194;727;Woonhuis;1614;1015BR
652;10-05-2018;['No'];52.36918448;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002374656/zeeburgerkade;Verkocht onder voorbehoud;4.94054677;Oostelijk Havengebied;2;3;399000;Zeeburgerkade;85;278;Appartement;1990;1019HH
653;02-05-2018;['No'];52.35391075;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002367717/ruysdaelstraat;Beschikbaar;4.88366096;Museumkwartier;2;3;820000;Ruysdaelstraat;90;316;Appartement;1906;1071XA
654;24-03-2018;['No'];52.36108951;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002337924/vondelstraat;Beschikbaar;4.87264244;Museumkwartier;[];5;1195000;Vondelstraat;168;610;Appartement;1882;1054GS
655;> 3 maanden;['No'];52.36877704;https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0002358588/orteliuskade;Beschikbaar;4.84906018;Overtoomse Veld;2;3;300000;Orteliuskade;56;190;Opslagruimte;1939;1057AL
656;> 3 maanden;['No'];52.37094254;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002298243/korte-geuzenstraat;Verkocht onder voorbehoud;4.86499531;De Krommert;[];1;136000;Korte Geuzenstraat;21;62;Appartement;1942;1056KZ
657;11-05-2018;['No'];52.38530732;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002375396/haarlemmerweg;Bieding;4.87170042;Centrale Markt;1;2;300000;Haarlemmerweg;48;118;Appartement;1905;1051LA
658;> 3 maanden;['No'];52.34235153;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002342553/kinderdijkstraat;Verkocht onder voorbehoud;4.90281011;Rijnbuurt;3;5;750000;Kinderdijkstraat;118;385;Appartement;1938;1079GM
659;08-04-2018;['No'];52.36036196;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002365859/wijttenbachstraat;Verkocht onder voorbehoud;4.92734989;Dapperbuurt;2;3;399000;Wijttenbachstraat;70;173;Woonhuis;1884;1093JD
660;13-04-2018;['No'];52.35108716;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002353817/lomanstraat;Verkocht onder voorbehoud;4.85859479;Willemspark;1;2;499000;Lomanstraat;64;235;Appartement;1914;1075RG
661;06-03-2018;['No'];52.3692207;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002313707/rapenburgerstraat;Beschikbaar;4.90841942;Nieuwmarkt/Lastage;1;2;510000;Rapenburgerstraat;58;216;Appartement;1964;1011VK
662;21-05-2018;['Yes', 'zonneterras'];52.37337695;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002383354/rozengracht;Beschikbaar;4.88126666;Jordaan;2;3;575000;Rozengracht;93;251;Appartement;[];1016LS
663;19-04-2018;['No'];52.38659563;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002365039/houtmankade;Beschikbaar;4.88284913;Haarlemmerbuurt;3;4;389000;Houtmankade;70;213;Appartement;1912;1013RR
664;25-04-2018;['Yes', 'achtertuin'];52.37761934;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002363126/gillis-van-ledenberchstraat;Bieding;4.87296467;Frederik Hendrikbuurt;1;2;250000;Gillis van Ledenberchstraat;46;163;Appartement;1916;1052TW
665;> 3 maanden;['No'];52.37317631;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380630/burgemeester-cramergracht;Beschikbaar;4.83245719;Slotermeer-Zuidwest;2;3;260000;Burgemeester Cramergracht;77;270;Appartement;[];1064AG
666;> 3 maanden;['No'];52.36362471;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002144093/javastraat;Beschikbaar;4.93675622;Indische Buurt West;[];2;232000;Javastraat;48;270;Appartement;1920;1094HN
667;15-05-2018;['No'];52.36649089;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002379131/admiralengracht;Bieding;4.85830848;Hoofdweg en omgeving;2;3;300000;Admiralengracht;59;195;Appartement;1926;1057GA
668;> 3 maanden;['Yes', 'achtertuin'];52.34732101;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002253032/roeselarestraat;Verkocht onder voorbehoud;4.80309055;Sloten- en Riekerpolder;4;5;359000;Roeselarestraat;119;365;Woonhuis;1995;1066SW
669;14-05-2018;['No'];52.3251834;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002376977/chestertonlaan;Beschikbaar;4.94609399;Bijlmer-Centrum (D, F, H);1;2;139500;Chestertonlaan;40;115;Appartement;1983;1102ZA
670;> 3 maanden;['No'];52.31203325;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002337087/hofgeest;Verkocht onder voorbehoud;4.95802932;Bijlmer-Centrum (D, F, H);4;5;175000;Hofgeest;93;275;Appartement;1969;1102EB
671;22-04-2018;['No'];52.38463253;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002359535/waterspiegelplein;Beschikbaar;4.86947563;Centrale Markt;2;3;400000;Waterspiegelplein;78;226;Appartement;1997;1051PB
