;Available since;Coordinates;Garden;Listing_status;Neighbourhood;Number of bedrooms;Number of rooms;Price;Surface (m²);Total volume (m³);Year built;Zipcode;link
358;> 3 maanden;('4.8927324800', '52.4236843900');['Ja', 'ja'];Verkocht onder voorbehoud;Oostzanerwerf;3;4;325.000;93;325;1993;1035KA;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002362056/noorder-valdeur
"
359;> 3 maanden;('4.8720944200', '52.3842664600');['N', 'e', 'e'];Verkocht onder voorbehoud;Staatsliedenbuurt;1;2;250.000;39;125;1905;1051VD;"https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0002333609/van-der-hoopstraat
"
360;> 3 maanden;('4.8915205600', '52.3769614800');['N', 'e', 'e'];Beschikbaar;Grachtengordel-West;5;10;2.550.000;336;1.181;1905;1015AD;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002302939/singel
"
361;22-04-2018;('4.8694756300', '52.3846325300');['N', 'e', 'e'];Beschikbaar;Centrale Markt;2;3;400.000;78;226;1997;1051PB;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002359535/waterspiegelplein
"
362;05-04-2018;('4.9947873700', '52.3558142600');['N', 'e', 'e'];Beschikbaar;IJburg West;2;3;375.000;103;334;2009;1087EN;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002347304/ijburglaan
"
363;> 3 maanden;('4.7964933300', '52.3366403300');['Ja', 'voortuin'];Beschikbaar;Middelveldsche Akerpolder en Sloten;3;5;589.000;175;400;2005;1066DE;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002380089/ringvaartdijk
"
364;> 3 maanden;('4.7964933300', '52.3366403300');['N', 'e', 'e'];Beschikbaar;Middelveldsche Akerpolder en Sloten;3;5;589.000;175;400;2005;1066DE;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002307520/rupelmonde
"
365;> 3 maanden;('4.8920849300', '52.3842888100');['N', 'e', 'e'];Beschikbaar;Haarlemmerbuurt;3;5;50.000;175;400;2005;1013BR;"https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0002285386/winthontstraat
"
366;20-04-2018;('4.8806850600', '52.3754416400');['N', 'e', 'e'];Verkocht onder voorbehoud;Jordaan;1;1;300.000;36;112;1760;1015TC;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002358898/tweede-leliedwarsstraat
"
367;29-03-2018;('4.9973449600', '52.3554182700');['N', 'e', 'e'];Verkocht onder voorbehoud;IJburg West;2;3;365.000;93;281;2004;1087GL;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002342205/maria-austriastraat
"
368;09-04-2018;('4.9928967300', '52.3571381600');['Ja', 'achtertuin'];Bieding;IJburg West;3;4;499.000;123;391;2006;1087CM;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002346239/alexandrine-tinnehof
"
369;> 3 maanden;('4.8921695200', '52.3872371300');['N', 'e', 'e'];Beschikbaar;Haarlemmerbuurt;3;4;850.000;145;450;2009;1013BX;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0001424257/westerdoksdijk
"
370;> 3 maanden;('4.8921695200', '52.3872371300');['N', 'e', 'e'];Beschikbaar;Haarlemmerbuurt;3;4;850.000;145;450;2009;1013BX;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002325646/jacques-veltmanstraat
"
371;> 3 maanden;('5.0128582200', '52.3051820300');['Ja', 'De woning heeft rondom tuin en is gelegen aan het water met een eigen aanlegsteiger en er is een parkeerplaats op eigen terrein. De achtertuin is bijzonder breed en grenst geheel aan water waardoor je lekker weids uitzicht hebt en zeer veel privacy!'];Beschikbaar;Nellestein;6;7;1.075.000;204;760;2001;1109BK;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002269149/lange-stammerdijk
"
372;27-03-2018;('4.9403669600', '52.3549652600');['Ja', 'achtertuin'];Verkocht onder voorbehoud;Middenmeer;3;4;575.000;88;225;1906;1098LX;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002360205/galileiplantsoen
"
373;> 3 maanden;('4.8687207700', '52.3851235500');['N', 'e', 'e'];Verkocht onder voorbehoud;Centrale Markt;3;4;445.000;91;270;1997;1051NV;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002321449/haarlemmerweg
"
374;17-05-2018;('4.9090406600', '52.3619881000');['N', 'e', 'e'];Bieding;Weesperbuurt/Plantage;3;4;375.000;70;210;1925;1018XC;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002382410/valckenierstraat
"
375;14-05-2018;('4.8767567300', '52.3658708200');['N', 'e', 'e'];Beschikbaar;Helmersbuurt;3;4;625.000;91;320;1894;1054AR;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002377566/bosboom-toussaintstraat
"
376;14-05-2018;('4.8767567300', '52.3658708200');['N', 'e', 'e'];Beschikbaar;Helmersbuurt;3;4;625.000;91;320;1894;1054AR;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002375429/eastonstraat
"
377;14-05-2018;('4.9414835300', '52.3928615200');['Ja', 'achtertuin'];Beschikbaar;Tuindorp Nieuwendam;3;4;325.000;83;283;1949;1023VV;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002376909/berkhouthof
"
378;16-05-2018;('4.9151999800', '52.3557124300');['N', 'e', 'e'];Beschikbaar;Oosterparkbuurt;2;3;425.000;82;294;1982;1091JL;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002379102/iepenweg
"
379;> 3 maanden;('4.9548936100', '52.3178099600');['N', 'e', 'e'];Beschikbaar;Bijlmer-Centrum (D, F, H);3;4;250.000;97;294;1970;1102AV;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002375251/fleerde
"
