;Available since;Coordinates;Garden;Listing_status;Neighbourhood;Number of bedrooms;Number of rooms;Price;Surface (m²);Total volume (m³);Year built;Zipcode;link
603;01-05-2018;('4.8655488200', '52.3725717600');['N', 'e', 'e'];Beschikbaar;De Krommert;1;4;325.000;53;163;1928;1056KG;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002366894/geuzenstraat
"
604;11-04-2018;('4.9794837400', '52.3631144700');['N', 'e', 'e'];Verkocht onder voorbehoud;IJburg West;2;3;325.000;84;259;2007;1086XT;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002351828/ijburglaan
"
605;> 3 maanden;('4.8660633200', '52.3612764400');['Ja', 'zonneterras'];Verkocht onder voorbehoud;Vondelbuurt;4;5;950.000;164;420;1899;1054EJ;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002286014/eerste-helmersstraat
"
606;18-05-2018;('4.8469105900', '52.3740790000');['Ja', 'achtertuin'];Beschikbaar;Erasmuspark;2;3;350.000;65;177;1931;1056PB;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002382487/orteliusstraat
"
607;> 3 maanden;('4.8990953300', '52.3412127900');['N', 'e', 'e'];Beschikbaar;Rijnbuurt;2;3;350.000;52;177;1935;1079ZP;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002261649/alblasstraat
"
608;18-03-2018;('4.9343113900', '52.3600652400');['N', 'e', 'e'];Beschikbaar;Indische Buurt West;2;1;195.000;28;102;1981;1094SW;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002332863/formosastraat
"
609;18-03-2018;('4.9343113900', '52.3600652400');['N', 'e', 'e'];Beschikbaar;Indische Buurt West;2;1;195.000;28;102;1981;1094SW;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002278532/hellenburg
"
610;> 3 maanden;('4.9991355400', '52.3554421300');['N', 'e', 'e'];Beschikbaar;IJburg West;2;3;359.000;96;301;2004;1087GT;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002323431/kiekstraat
"
611;> 3 maanden;('4.9991355400', '52.3554421300');['N', 'e', 'e'];Beschikbaar;IJburg West;2;3;359.000;96;301;2004;1087GT;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002330569/westerdok
"
612;12-05-2018;('4.9151851400', '52.3847066900');['Ja', 'achtertuin'];Verkocht onder voorbehoud;Ijplein/Vogelbuurt;2;3;200.000;47;168;1915;1021GE;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002375398/nachtegaalstraat
"
613;23-03-2018;('4.9011811000', '52.3861746800');['N', 'e', 'e'];Beschikbaar;Buiksloterham;2;3;799.000;108;38.995;2012;1031KD;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002337925/hammerbystraat
"
614;08-05-2018;('4.8636079700', '52.3740281900');['N', 'e', 'e'];Bieding;De Krommert;1;3;300.000;50;160;1935;1056JV;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002375300/willem-de-zwijgerlaan
"
615;08-05-2018;('4.8636079700', '52.3740281900');['N', 'e', 'e'];Bieding;De Krommert;1;3;300.000;50;160;1935;1056JV;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002332950/ter-haarstraat
"
616;11-04-2018;('4.9022737300', '52.3524965000');['N', 'e', 'e'];Verkocht onder voorbehoud;Diamantbuurt;2;3;625.000;92;295;1908;1073ST;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002352543/pieter-aertszstraat
"
617;13-05-2018;('4.8107756600', '52.3737108700');['Ja', 'Nieuwe tuin 1'];Beschikbaar;Slotermeer-Zuidwest;3;4;295.000;82;289;1954;1064NC;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002375927/bierens-de-haanstraat
"
618;04-05-2018;('4.7988388000', '52.3790987400');['N', 'e', 'e'];Beschikbaar;Geuzenveld;3;4;250.000;65;170;1960;1067JK;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002371098/sam-van-houtenstraat
"
619;12-04-2018;('4.8855721000', '52.3757230900');['N', 'e', 'e'];Beschikbaar;Grachtengordel-West;2;3;525.000;60;225;1960;1015DH;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002353744/leliegracht
"
620;> 3 maanden;('4.8953592000', '52.3777773900');['N', 'e', 'e'];Beschikbaar;Burgwallen-Nieuwe Zijde;2;3;750.000;106;275;1850;1012SN;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0001755154/hekelveld
"
621;05-04-2018;('4.8501490300', '52.3528197300');['N', 'e', 'e'];Verkocht onder voorbehoud;Hoofddorppleinbuurt;1;2;325.000;55;148;1906;1058KH;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002363227/haarlemmermeerstraat
"
622;19-04-2018;('4.8078322900', '52.3483419600');['Ja', 'achtertuin'];Verkocht onder voorbehoud;Sloten- en Riekerpolder;3;4;325.000;112;351;1992;1066NT;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002373097/turnhoutplantsoen
"
623;19-04-2018;('4.8078322900', '52.3483419600');['N', 'e', 'e'];Verkocht onder voorbehoud;Sloten- en Riekerpolder;3;4;325.000;112;351;1992;1066NT;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002316847/telescoophof
"
624;> 3 maanden;('4.9496211800', '52.3974486000');['N', 'e', 'e'];Beschikbaar;Nieuwendam-Noord;2;3;275.000;120;355;1968;1024AE;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002376548/jisperveldstraat
"
625;> 3 maanden;('4.8831708200', '52.3712190400');['N', 'e', 'e'];Beschikbaar;Grachtengordel-West;1;2;295.000;38;355;1970;1016HM;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002319602/prinsengracht
"
626;06-03-2018;('4.9084194200', '52.3692207000');['N', 'e', 'e'];Beschikbaar;Nieuwmarkt/Lastage;1;2;465.000;51;174;1964;1011VK;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002315605/rapenburgerstraat
"
627;09-05-2018;('4.8441852800', '52.3735812000');['N', 'e', 'e'];Beschikbaar;De Kolenkit;3;4;470.000;93;318;1964;1056AL;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380057/erik-de-roodestraat
"
628;> 3 maanden;('4.8028520300', '52.3821564700');['N', 'e', 'e'];Verkocht onder voorbehoud;Geuzenveld;2;3;275.000;95;252;1964;1067EM;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002374190/pieter-van-der-werfstraat
"
629;> 3 maanden;('4.8034134900', '52.3774406700');['N', 'e', 'e'];Beschikbaar;Geuzenveld;2;3;249.500;82;252;2004;1067XX;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002355029/willem-baerdesenstraat
"
630;> 3 maanden;('4.8021673900', '52.3505520600');['N', 'e', 'e'];Verkocht onder voorbehoud;Osdorp-Midden;2;3;315.000;74;230;2008;1069RR;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002373074/jan-van-zutphenstraat
"
631;30-03-2018;('4.9120825200', '52.3685703700');['N', 'e', 'e'];Beschikbaar;Weesperbuurt/Plantage;2;3;485.000;87;271;1989;1018CM;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002342460/plantage-doklaan
"
632;> 3 maanden;('4.8716855800', '52.3537333700');['Ja', 'achtertuin'];Beschikbaar;Museumkwartier;6;9;2.200.000;316;1.297;1989;1071PJ;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002261508/de-lairessestraat
"
633;> 3 maanden;('4.8716855800', '52.3537333700');['N', 'e', 'e'];Beschikbaar;Museumkwartier;6;9;2.200.000;316;1.297;1989;1071PJ;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002106215/josephus-jittastraat
"
634;11-05-2018;('4.9477337900', '52.3892358900');['Ja', 'achtertuin'];Beschikbaar;Tuindorp Nieuwendam;3;4;319.000;65;241;1927;1023CX;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002375401/scharwouderstraat
"
635;30-04-2018;('4.7965870200', '52.3562945100');['N', 'e', 'e'];Verkocht onder voorbehoud;Osdorp-Midden;2;3;239.000;81;241;1962;1069GV;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002365656/ekingenstraat
"
636;> 3 maanden;('4.9385770000', '52.4042468700');['N', 'e', 'e'];Verkocht onder voorbehoud;Buikslotermeer;2;3;269.000;88;285;1974;1025EE;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002307225/h-cleyndertweg
"
637;> 3 maanden;('4.9374252200', '52.3714914900');['N', 'e', 'e'];Beschikbaar;Oostelijk Havengebied;2;3;35.000;88;285;1974;1019HZ;"https://www.pararius.nl/overig-te-koop/amsterdam/PB0002372090/borneolaan
"
638;09-03-2018;('4.9883841100', '52.2989993400');['N', 'e', 'e'];Verkocht onder voorbehoud;Gein;3;4;200.000;90;240;1983;1106DT;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002318021/wamelplein
"
639;18-04-2018;('4.8991094600', '52.3612824800');['N', 'e', 'e'];Beschikbaar;Grachtengordel-Zuid;1;3;650.000;79;258;1750;1017VT;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002356319/utrechtsestraat
"
640;03-05-2018;('4.9443470900', '52.3179596900');['N', 'e', 'e'];Beschikbaar;Bijlmer-Centrum (D, F, H);2;3;169.000;66;21.381;1985;1102RS;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002371208/berthold-brechtstraat
"
641;03-05-2018;('4.8506026900', '52.3674987900');['N', 'e', 'e'];Beschikbaar;Erasmuspark;2;3;300.000;50;152;1935;1057BG;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002369943/orteliusstraat
"
642;> 3 maanden;('4.9061828200', '52.3683038800');['N', 'e', 'e'];Beschikbaar;Nieuwmarkt/Lastage;2;3;895.000;151;587;1900;1011VM;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002327800/rapenburgerstraat
"
643;> 3 maanden;('4.8295735800', '52.3560860100');['N', 'e', 'e'];Beschikbaar;Osdorp-Oost;3;5;350.000;115;357;1900;1065KJ;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002367694/pieter-calandlaan
"
644;> 3 maanden;('4.8981701000', '52.3586002600');['N', 'e', 'e'];Verkocht onder voorbehoud;De Weteringschans;2;3;300.000;50;155;1995;1017ZL;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002366522/huidekoperstraat
"
645;> 3 maanden;('4.8687884400', '52.3416411600');['Ja', 'Orientatie: Zuid'];Beschikbaar;Station-Zuid WTC en omgeving;2;3;509.000;102;306;1957;1077XR;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002300146/henri-zagwijnstraat
"
646;10-04-2018;('4.8674630500', '52.3746293800');['N', 'e', 'e'];Verkocht onder voorbehoud;Centrale Markt;1;2;215.000;41;130;1985;1051LW;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002351830/marcantilaan
"
647;16-05-2018;('4.8725235900', '52.3839897100');['N', 'e', 'e'];Beschikbaar;Staatsliedenbuurt;2;3;450.000;91;308;1905;1051GT;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380214/cliffordstraat
"
648;> 3 maanden;('4.9827769200', '52.3078332700');['Ja', 'ja'];Beschikbaar;Nellestein;2;3;200.000;74;235;1979;1108HT;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002381779/liendenhof
"
649;> 3 maanden;('4.9089902700', '52.3612149600');['N', 'e', 'e'];Beschikbaar;Weesperbuurt/Plantage;1;2;599.000;80;250;2000;1018GP;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002228925/sarphatistraat
"
650;12-03-2018;('4.8663582500', '52.3661670700');['Ja', 'achtertuin'];Verkocht onder voorbehoud;Van Lennepbuurt;2;3;359.000;55;171;2000;1053CL;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002340372/hasebroekstraat
"
651;30-04-2018;('4.9848686100', '52.3083976500');['N', 'e', 'e'];Beschikbaar;Nellestein;3;4;225.000;101;326;1979;1108HB;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002365497/liendenhof
"
652;11-04-2018;('4.7831440800', '52.3485151300');['Ja'];Beschikbaar;Middelveldsche Akerpolder en Sloten;4;7;550.000;198;68.277;1998;1060RD;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002352975/balatonmeerlaan
"
653;18-05-2018;('4.8736246900', '52.3789613800');['N', 'e', 'e'];Beschikbaar;Frederik Hendrikbuurt;1;2;325.000;50;130;1922;1052GX;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002382973/kostverlorenstraat
"
654;> 3 maanden;('4.8915979300', '52.3555800100');['N', 'e', 'e'];Beschikbaar;Oude Pijp;1;1;235.000;33;89;1922;1072VW;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002341860/gerard-doustraat
"
655;14-03-2018;('4.9455144000', '52.3775616500');['N', 'e', 'e'];Verkocht onder voorbehoud;Oostelijk Havengebied;1;3;475.000;108;326;1994;1019LJ;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002331363/knsm-laan
"
656;> 3 maanden;('4.9228044100', '52.3766748700');['N', 'e', 'e'];Beschikbaar;Oostelijk Havengebied;2;3;725.000;112;350;2006;1019HD;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002297367/veembroederhof
"
657;28-03-2018;('5.0029940200', '52.3522820600');['N', 'e', 'e'];Bieding;IJburg Zuid;2;3;290.000;80;253;2001;1087KP;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002341180/julius-pergerstraat
"
658;> 3 maanden;('4.8768631900', '52.3451275600');['N', 'e', 'e'];Verkocht onder voorbehoud;Station-Zuid WTC en omgeving;3;4;499.000;86;270;1931;1077HZ;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002206768/beethovenstraat
"
659;03-05-2018;('4.9834709700', '52.3105229900');['N', 'e', 'e'];Beschikbaar;Nellestein;2;3;179.000;78;22.397;1979;1108EV;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002371207/leksmondhof
"
660;> 3 maanden;('4.9200798900', '52.3578798500');['Ja', 'achtertuin'];Verkocht onder voorbehoud;Oosterparkbuurt;1;2;325.000;57;160;1988;1092BT;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002315575/tweede-oosterparkstraat
"
661;> 3 maanden;('4.9912260000', '52.3008873400');['Ja'];Beschikbaar;Gein;5;6;265.000;105;160;1986;1106WE;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002379753/helena-kuipers-rietberghof
"
662;28-04-2018;('4.8520735300', '52.3770234600');['N', 'e', 'e'];Verkocht onder voorbehoud;Erasmuspark;2;3;275.000;52;168;1940;1055CD;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002364902/esmoreitstraat
"
663;> 3 maanden;('4.8022124900', '52.3504713900');['N', 'e', 'e'];Verkocht onder voorbehoud;Osdorp-Midden;2;3;295.000;70;215;2007;1069RR;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002373079/jan-van-zutphenstraat
"
664;> 3 maanden;('4.8333313300', '52.3537398700');['Ja', 'ja'];Verkocht onder voorbehoud;Slotervaart;2;4;400.000;115;395;2003;1065DC;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002351303/jacques-veltmanstraat
"
665;27-03-2018;('4.9909809500', '52.3579766100');['N', 'e', 'e'];Beschikbaar;IJburg West;3;4;340.000;104;33.147;2006;1087BR;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002341332/daguerrestraat
"
666;27-03-2018;('4.9909809500', '52.3579766100');['N', 'e', 'e'];Beschikbaar;IJburg West;3;4;340.000;104;33.147;2006;1087BR;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002350924/geerdinkhof
"
667;> 3 maanden;('4.9361805400', '52.3552639500');['N', 'e', 'e'];Beschikbaar;Middenmeer;3;4;549.500;109;33.147;1929;1098GX;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002125123/newtonstraat
"
668;15-03-2018;('4.9091303100', '52.3877292300');['Ja', 'achtertuin'];Verkocht onder voorbehoud;Volewijck;1;2;269.000;44;132;1919;1031EB;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002331181/van-der-pekstraat
"
669;08-05-2018;('4.8679813300', '52.3529352400');['N', 'e', 'e'];Beschikbaar;Museumkwartier;2;3;570.000;72;261;1923;1075HL;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002373315/de-lairessestraat
"
670;30-04-2018;('4.8459746000', '52.3773732300');['N', 'e', 'e'];Beschikbaar;Westindische buurt;2;3;385.000;82;214;2009;1055SC;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002365816/hoofdweg
"
671;19-04-2018;('4.8828491300', '52.3865956300');['N', 'e', 'e'];Beschikbaar;Haarlemmerbuurt;3;4;389.000;70;213;1912;1013RR;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002365039/houtmankade
"
672;> 3 maanden;('4.8078673400', '52.3434078200');['Ja', 'voortuin'];Verkocht onder voorbehoud;Sloten- en Riekerpolder;3;4;350.000;118;416;1993;1066WV;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002340347/ukkelhof
"
673;> 3 maanden;('4.8474555500', '52.3835994900');['N', 'e', 'e'];Verkocht onder voorbehoud;Landlust;2;3;310.000;75;224;1950;1055LD;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002272171/sara-burgerhartstraat
"
674;> 3 maanden;('4.8952471300', '52.3614013100');['N', 'e', 'e'];Verkocht onder voorbehoud;Grachtengordel-West;2;3;935.000;114;377;1950;1017LC;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002372665/prinsengracht
"
675;23-03-2018;('4.8726424400', '52.3610895100');['N', 'e', 'e'];Beschikbaar;Museumkwartier;4;5;1.195.000;168;610;1882;1054GS;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002338326/vondelstraat
"
676;> 3 maanden;('4.9359158800', '52.3769592400');['N', 'e', 'e'];Beschikbaar;Oostelijk Havengebied;4;5;40.000;168;610;2000;1019PE;"https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0001044594/bogortuin
"
677;> 3 maanden;('4.9320875300', '52.3693499900');['Ja', 'Orientatie: Zuid'];Beschikbaar;Oostelijke Eilanden/Kadijken;3;3;455.000;82;240;2006;1018AK;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0001892878/funenpark
"
678;28-03-2018;('4.9162370200', '52.4059846600');['N', 'e', 'e'];Verkocht onder voorbehoud;Banne Buiksloot;2;3;325.000;92;277;2010;1034GA;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002340940/statenjachtstraat
"
679;> 3 maanden;('4.8616407700', '52.3677819900');['N', 'e', 'e'];Verkocht onder voorbehoud;De Krommert;2;3;375.000;68;250;2010;1057HW;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002331940/chassestraat
"
680;19-05-2018;('4.9213783300', '52.3642392800');['N', 'e', 'e'];Beschikbaar;Oostelijke Eilanden/Kadijken;2;2;365.000;59;208;1905;1018CC;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002382236/kazernestraat
"
681;14-05-2018;('4.8629231200', '52.3735757700');['N', 'e', 'e'];Beschikbaar;De Krommert;2;3;275.000;51;166;1905;1056JJ;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002377005/willem-de-zwijgerlaan
"
682;> 3 maanden;('4.9964872500', '52.2977681000');['N', 'e', 'e'];Beschikbaar;Gein;2;5;300.000;105;295;1986;1106ZB;"https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0002325453/hendrik-veldhuishof
"
683;23-03-2018;('4.8801450300', '52.3533115300');['N', 'e', 'e'];Verkocht onder voorbehoud;Museumkwartier;2;1;235.000;34;89;1911;1071XB;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002337742/ruysdaelstraat
"
684;> 3 maanden;('4.9020263700', '52.4194177400');['Ja', 'achtertuin. Lengte: 18. Breedte: 8. Orientatie: Zuid'];Beschikbaar;Kadoelen;4;5;598.000;154;553;2000;1035XC;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002341176/stentorstraat
"
685;> 3 maanden;('4.9279128100', '52.3541985700');['N', 'e', 'e'];Beschikbaar;Frankendael;6;10;960.000;200;553;1920;1097BZ;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002373767/simon-stevinstraat
"
686;> 3 maanden;('4.9448832400', '52.3731104000');['N', 'e', 'e'];Verkocht onder voorbehoud;Oostelijk Havengebied;6;5;900.000;165;547;1999;1019AX;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002322489/panamakade
"
687;07-05-2018;('4.8844064900', '52.3749092500');['Ja', 'achtertuin'];Beschikbaar;Grachtengordel-West;3;4;1.000.000;113;440;1905;1016DK;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002372441/westermarkt
"
688;24-04-2018;('4.8461750500', '52.3501053000');['N', 'e', 'e'];Verkocht onder voorbehoud;Hoofddorppleinbuurt;2;3;325.000;55;160;1933;1059TK;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002363182/westlandgracht
"
689;08-04-2018;('4.9915629200', '52.2992706700');['N', 'e', 'e'];Beschikbaar;Gein;2;4;325.000;105;310;1985;1106WH;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002349278/anne-kooistrahof
"
690;06-03-2018;('4.9084194200', '52.3692207000');['N', 'e', 'e'];Beschikbaar;Nieuwmarkt/Lastage;2;3;600.000;77;255;1964;1011VK;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002315590/rapenburgerstraat
"
691;07-03-2018;('4.8549924100', '52.3552952600');['N', 'e', 'e'];Verkocht onder voorbehoud;Stadionbuurt;2;3;425.000;72;225;1955;1075XK;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002317086/amstelveenseweg
"
692;> 3 maanden;('4.8904063300', '52.3925234900');['N', 'e', 'e'];Beschikbaar;Houthavens;2;3;39.000;9.999;225;2000;1013AW;"https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0002276360/silodam
"
693;> 3 maanden;('4.8553488500', '52.3769932800');['Ja'];Beschikbaar;Erasmuspark;2;3;320.000;63;225;1985;1055SV;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0001921708/ferguutstraat
"
694;06-03-2018;('4.9084194200', '52.3692207000');['N', 'e', 'e'];Beschikbaar;Nieuwmarkt/Lastage;1;2;400.000;51;171;1964;1011VK;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002315594/rapenburgerstraat
"
695;05-04-2018;('4.8474867200', '52.3762117200');['N', 'e', 'e'];Bieding;Westindische buurt;2;3;450.000;104;322;2008;1055AB;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002348576/hoofdweg
"
696;> 3 maanden;('4.9562054200', '52.3987579700');['Ja'];Beschikbaar;Nieuwendam-Noord;3;4;300.000;90;257;2008;1024EZ;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0001897806/grootslagstraat
"
697;25-04-2018;('4.8909829200', '52.3488815700');['N', 'e', 'e'];Verkocht onder voorbehoud;Scheldebuurt;2;3;325.000;55;137;1906;1072DA;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002379188/vincent-van-goghstraat
"
698;06-03-2018;('4.9084194200', '52.3692207000');['N', 'e', 'e'];Beschikbaar;Nieuwmarkt/Lastage;1;2;375.000;47;154;1964;1011VK;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002315596/rapenburgerstraat
"
699;13-03-2018;('4.8491761100', '52.3417516000');['N', 'e', 'e'];Beschikbaar;Stadionbuurt;2;3;389.000;65;170;1986;1076CW;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002380098/ijsbaanpad
"
700;> 3 maanden;('4.9027012600', '52.4195373400');['Ja', 'ja'];Beschikbaar;Kadoelen;3;4;425.000;91;350;1956;1035XJ;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002268799/stentorstraat
"
701;> 3 maanden;('4.8458202300', '52.3563322000');['N', 'e', 'e'];Beschikbaar;Hoofddorppleinbuurt;3;3;600.000;93;350;2010;1058GA;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002315406/saskia-van-uijlenburgkade
"
702;15-05-2018;('4.8700651800', '52.3706052800');['N', 'e', 'e'];Beschikbaar;Van Lennepbuurt;2;3;449.000;80;240;1993;1053KV;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002377047/bilderdijkstraat
"
703;> 3 maanden;('4.7889393600', '52.3573706000');['N', 'e', 'e'];Verkocht onder voorbehoud;De Punt;2;4;160.000;70;196;1963;1069EE;"https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0002329350/langswater
"
704;06-03-2018;('4.9084194200', '52.3692207000');['N', 'e', 'e'];Beschikbaar;Nieuwmarkt/Lastage;1;2;440.000;49;161;1964;1011VK;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002315606/rapenburgerstraat
"
705;30-03-2018;('4.9832488000', '52.3623814000');['N', 'e', 'e'];Beschikbaar;IJburg West;3;6;525.000;156;510;2001;1086ZJ;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002343080/ijburglaan
"
706;> 3 maanden;('4.8324571900', '52.3731763100');['N', 'e', 'e'];Beschikbaar;Slotermeer-Zuidwest;2;3;260.000;77;270;2001;1064AG;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380630/burgemeester-cramergracht
"
707;22-03-2018;('4.8779486700', '52.3848220600');['N', 'e', 'e'];Beschikbaar;Staatsliedenbuurt;2;2;300.000;59;223;1981;1051XG;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002337410/van-beuningenstraat
"
708;18-04-2018;('4.9243344800', '52.3764112300');['N', 'e', 'e'];Beschikbaar;Oostelijk Havengebied;2;3;500.000;100;34.343;2006;1019HD;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002358955/veembroederhof
"
709;17-05-2018;('4.9387390400', '52.3635423600');['N', 'e', 'e'];Beschikbaar;Indische Buurt West;1;2;235.000;38;118;1970;1094HV;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380573/langkatstraat
"
710;14-03-2018;('4.9008757700', '52.3541624800');['N', 'e', 'e'];Verkocht onder voorbehoud;Nieuwe Pijp;2;4;425.000;62;155;1938;1073VC;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002330535/sint-willibrordusstraat
"
711;> 3 maanden;('4.8488006500', '52.3478164000');['N', 'e', 'e'];Verkocht onder voorbehoud;Hoofddorppleinbuurt;2;3;300.000;58;154;1906;1059BG;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002317974/sassenheimstraat
"
712;18-04-2018;('4.8454164800', '52.3809837400');['N', 'e', 'e'];Verkocht onder voorbehoud;Landlust;2;3;250.000;88;271;1960;1055JS;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002356430/jephtastraat
"
713;10-04-2018;('4.9494841700', '52.3413829200');['N', 'e', 'e'];Verkocht onder voorbehoud;Frankendael;2;3;350.000;79;300;1925;1097VD;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002353843/middenweg
"
714;11-05-2018;('4.8800796300', '52.3847233500');['N', 'e', 'e'];Verkocht onder voorbehoud;Staatsliedenbuurt;1;2;229.000;32;81;1884;1052AA;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002375390/de-wittenkade
"
